node_no,dof_no,value
0,0,0
4,0,0
5,0,0
9,0,0
10,0,0
14,0,0
15,0,0
19,0,0
20,0,0
24,0,0
25,0,0
29,0,0
30,0,0
34,0,0
35,0,0
39,0,0
40,0,0
44,0,0
