ele_no,node_no,x,y,sigma_xx,sigma_yy,sigma_xy
0,0,0.0,0.0,-171.9886181134105,0.0,-31.037622530031477
0,1,0.0,1.25,-79.50995915075288,0.0,-31.498577264175427
1,1,0.0,1.25,-79.50995915075288,0.0,-31.498577264175427
1,2,0.0,2.5,-8.536118414022765e-14,0.0,-31.9595319983194
