node_no,x,y
0,0.0,0.0
1,0.0,0.3125
2,0.0,0.625
3,0.0,0.9375
4,0.0,1.25
5,0.0,1.5625
6,0.0,1.875
7,0.0,2.1875
8,0.0,2.5
9,0.0,2.8125
10,0.0,3.125
11,0.0,3.4375
12,0.0,3.75
13,0.0,4.0625
14,0.0,4.375
15,0.0,4.6875
16,0.0,5.0
17,0.3125,0.0
18,0.3125,0.3125
19,0.3125,0.625
20,0.3125,0.9375
21,0.3125,1.25
22,0.3125,1.5625
23,0.3125,1.875
24,0.3125,2.1875
25,0.3125,2.5
26,0.3125,2.8125
27,0.3125,3.125
28,0.3125,3.4375
29,0.3125,3.75
30,0.3125,4.0625
31,0.3125,4.375
32,0.3125,4.6875
33,0.3125,5.0
34,0.625,0.0
35,0.625,0.3125
36,0.625,0.625
37,0.625,0.9375
38,0.625,1.25
39,0.625,1.5625
40,0.625,1.875
41,0.625,2.1875
42,0.625,2.5
43,0.625,2.8125
44,0.625,3.125
45,0.625,3.4375
46,0.625,3.75
47,0.625,4.0625
48,0.625,4.375
49,0.625,4.6875
50,0.625,5.0
51,0.9375,0.0
52,0.9375,0.3125
53,0.9375,0.625
54,0.9375,0.9375
55,0.9375,1.25
56,0.9375,1.5625
57,0.9375,1.875
58,0.9375,2.1875
59,0.9375,2.5
60,0.9375,2.8125
61,0.9375,3.125
62,0.9375,3.4375
63,0.9375,3.75
64,0.9375,4.0625
65,0.9375,4.375
66,0.9375,4.6875
67,0.9375,5.0
68,1.25,0.0
69,1.25,0.3125
70,1.25,0.625
71,1.25,0.9375
72,1.25,1.25
73,1.25,1.5625
74,1.25,1.875
75,1.25,2.1875
76,1.25,2.5
77,1.25,2.8125
78,1.25,3.125
79,1.25,3.4375
80,1.25,3.75
81,1.25,4.0625
82,1.25,4.375
83,1.25,4.6875
84,1.25,5.0
85,1.5625,0.0
86,1.5625,0.3125
87,1.5625,0.625
88,1.5625,0.9375
89,1.5625,1.25
90,1.5625,1.5625
91,1.5625,1.875
92,1.5625,2.1875
93,1.5625,2.5
94,1.5625,2.8125
95,1.5625,3.125
96,1.5625,3.4375
97,1.5625,3.75
98,1.5625,4.0625
99,1.5625,4.375
100,1.5625,4.6875
101,1.5625,5.0
102,1.875,0.0
103,1.875,0.3125
104,1.875,0.625
105,1.875,0.9375
106,1.875,1.25
107,1.875,1.5625
108,1.875,1.875
109,1.875,2.1875
110,1.875,2.5
111,1.875,2.8125
112,1.875,3.125
113,1.875,3.4375
114,1.875,3.75
115,1.875,4.0625
116,1.875,4.375
117,1.875,4.6875
118,1.875,5.0
119,2.1875,0.0
120,2.1875,0.3125
121,2.1875,0.625
122,2.1875,0.9375
123,2.1875,1.25
124,2.1875,1.5625
125,2.1875,1.875
126,2.1875,2.1875
127,2.1875,2.5
128,2.1875,2.8125
129,2.1875,3.125
130,2.1875,3.4375
131,2.1875,3.75
132,2.1875,4.0625
133,2.1875,4.375
134,2.1875,4.6875
135,2.1875,5.0
136,2.5,0.0
137,2.5,0.3125
138,2.5,0.625
139,2.5,0.9375
140,2.5,1.25
141,2.5,1.5625
142,2.5,1.875
143,2.5,2.1875
144,2.5,2.5
145,2.5,2.8125
146,2.5,3.125
147,2.5,3.4375
148,2.5,3.75
149,2.5,4.0625
150,2.5,4.375
151,2.5,4.6875
152,2.5,5.0
153,2.8125,0.0
154,2.8125,0.3125
155,2.8125,0.625
156,2.8125,0.9375
157,2.8125,1.25
158,2.8125,1.5625
159,2.8125,1.875
160,2.8125,2.1875
161,2.8125,2.5
162,2.8125,2.8125
163,2.8125,3.125
164,2.8125,3.4375
165,2.8125,3.75
166,2.8125,4.0625
167,2.8125,4.375
168,2.8125,4.6875
169,2.8125,5.0
170,3.125,0.0
171,3.125,0.3125
172,3.125,0.625
173,3.125,0.9375
174,3.125,1.25
175,3.125,1.5625
176,3.125,1.875
177,3.125,2.1875
178,3.125,2.5
179,3.125,2.8125
180,3.125,3.125
181,3.125,3.4375
182,3.125,3.75
183,3.125,4.0625
184,3.125,4.375
185,3.125,4.6875
186,3.125,5.0
187,3.4375,0.0
188,3.4375,0.3125
189,3.4375,0.625
190,3.4375,0.9375
191,3.4375,1.25
192,3.4375,1.5625
193,3.4375,1.875
194,3.4375,2.1875
195,3.4375,2.5
196,3.4375,2.8125
197,3.4375,3.125
198,3.4375,3.4375
199,3.4375,3.75
200,3.4375,4.0625
201,3.4375,4.375
202,3.4375,4.6875
203,3.4375,5.0
204,3.75,0.0
205,3.75,0.3125
206,3.75,0.625
207,3.75,0.9375
208,3.75,1.25
209,3.75,1.5625
210,3.75,1.875
211,3.75,2.1875
212,3.75,2.5
213,3.75,2.8125
214,3.75,3.125
215,3.75,3.4375
216,3.75,3.75
217,3.75,4.0625
218,3.75,4.375
219,3.75,4.6875
220,3.75,5.0
221,4.0625,0.0
222,4.0625,0.3125
223,4.0625,0.625
224,4.0625,0.9375
225,4.0625,1.25
226,4.0625,1.5625
227,4.0625,1.875
228,4.0625,2.1875
229,4.0625,2.5
230,4.0625,2.8125
231,4.0625,3.125
232,4.0625,3.4375
233,4.0625,3.75
234,4.0625,4.0625
235,4.0625,4.375
236,4.0625,4.6875
237,4.0625,5.0
238,4.375,0.0
239,4.375,0.3125
240,4.375,0.625
241,4.375,0.9375
242,4.375,1.25
243,4.375,1.5625
244,4.375,1.875
245,4.375,2.1875
246,4.375,2.5
247,4.375,2.8125
248,4.375,3.125
249,4.375,3.4375
250,4.375,3.75
251,4.375,4.0625
252,4.375,4.375
253,4.375,4.6875
254,4.375,5.0
255,4.6875,0.0
256,4.6875,0.3125
257,4.6875,0.625
258,4.6875,0.9375
259,4.6875,1.25
