ele_no,material_id,node_A,node_B,node_C,node_D
0,0.0,0,5,6,1
1,0.0,1,6,7,2
2,0.0,2,7,8,3
3,0.0,3,8,9,4
4,0.0,5,10,11,6
5,0.0,6,11,12,7
6,0.0,7,12,13,8
7,0.0,8,13,14,9
8,0.0,10,15,16,11
9,0.0,11,16,17,12
10,0.0,12,17,18,13
11,0.0,13,18,19,14
12,0.0,15,20,21,16
13,0.0,16,21,22,17
14,0.0,17,22,23,18
15,0.0,18,23,24,19
16,0.0,20,25,26,21
17,0.0,21,26,27,22
18,0.0,22,27,28,23
19,0.0,23,28,29,24
20,0.0,25,30,31,26
21,0.0,26,31,32,27
22,0.0,27,32,33,28
23,0.0,28,33,34,29
24,0.0,30,35,36,31
25,0.0,31,36,37,32
26,0.0,32,37,38,33
27,0.0,33,38,39,34
28,0.0,35,40,41,36
29,0.0,36,41,42,37
30,0.0,37,42,43,38
31,0.0,38,43,44,39
32,0.0,40,45,46,41
33,0.0,41,46,47,42
34,0.0,42,47,48,43
35,0.0,43,48,49,44
36,0.0,45,50,51,46
37,0.0,46,51,52,47
38,0.0,47,52,53,48
39,0.0,48,53,54,49
40,0.0,50,55,56,51
41,0.0,51,56,57,52
42,0.0,52,57,58,53
43,0.0,53,58,59,54
44,0.0,55,60,61,56
45,0.0,56,61,62,57
46,0.0,57,62,63,58
47,0.0,58,63,64,59
