node_no,x,y
0,0.0,0.0
1,0.0,1.25
2,0.0,2.5
3,0.0,3.75
4,0.0,5.0
5,1.25,0.0
6,1.25,1.25
7,1.25,2.5
8,1.25,3.75
9,1.25,5.0
10,2.5,0.0
11,2.5,1.25
12,2.5,2.5
13,2.5,3.75
14,2.5,5.0
15,3.75,0.0
16,3.75,1.25
17,3.75,2.5
18,3.75,3.75
19,3.75,5.0
20,5.0,0.0
21,5.0,1.25
22,5.0,2.5
23,5.0,3.75
24,5.0,5.0
25,6.25,0.0
26,6.25,1.25
27,6.25,2.5
28,6.25,3.75
29,6.25,5.0
30,7.5,0.0
31,7.5,1.25
32,7.5,2.5
33,7.5,3.75
34,7.5,5.0
35,8.75,0.0
36,8.75,1.25
37,8.75,2.5
38,8.75,3.75
39,8.75,5.0
40,10.0,0.0
41,10.0,1.25
42,10.0,2.5
43,10.0,3.75
44,10.0,5.0
45,11.25,0.0
46,11.25,1.25
47,11.25,2.5
48,11.25,3.75
49,11.25,5.0
50,12.5,0.0
51,12.5,1.25
52,12.5,2.5
53,12.5,3.75
54,12.5,5.0
55,13.75,0.0
56,13.75,1.25
57,13.75,2.5
58,13.75,3.75
59,13.75,5.0
60,15.0,0.0
61,15.0,1.25
62,15.0,2.5
63,15.0,3.75
64,15.0,5.0
