ele_no,material_id,node_A,node_B,node_C,node_D
0,0.0,0,9,10,1
1,0.0,1,10,11,2
2,0.0,2,11,12,3
3,0.0,3,12,13,4
4,0.0,4,13,14,5
5,0.0,5,14,15,6
6,0.0,6,15,16,7
7,0.0,7,16,17,8
8,0.0,9,18,19,10
9,0.0,10,19,20,11
10,0.0,11,20,21,12
11,0.0,12,21,22,13
12,0.0,13,22,23,14
13,0.0,14,23,24,15
14,0.0,15,24,25,16
15,0.0,16,25,26,17
16,0.0,18,27,28,19
17,0.0,19,28,29,20
18,0.0,20,29,30,21
19,0.0,21,30,31,22
20,0.0,22,31,32,23
21,0.0,23,32,33,24
22,0.0,24,33,34,25
23,0.0,25,34,35,26
24,0.0,27,36,37,28
25,0.0,28,37,38,29
26,0.0,29,38,39,30
27,0.0,30,39,40,31
28,0.0,31,40,41,32
29,0.0,32,41,42,33
30,0.0,33,42,43,34
31,0.0,34,43,44,35
32,0.0,36,45,46,37
33,0.0,37,46,47,38
34,0.0,38,47,48,39
35,0.0,39,48,49,40
36,0.0,40,49,50,41
37,0.0,41,50,51,42
38,0.0,42,51,52,43
39,0.0,43,52,53,44
40,0.0,45,54,55,46
41,0.0,46,55,56,47
42,0.0,47,56,57,48
43,0.0,48,57,58,49
44,0.0,49,58,59,50
45,0.0,50,59,60,51
46,0.0,51,60,61,52
47,0.0,52,61,62,53
48,0.0,54,63,64,55
49,0.0,55,64,65,56
50,0.0,56,65,66,57
51,0.0,57,66,67,58
52,0.0,58,67,68,59
53,0.0,59,68,69,60
54,0.0,60,69,70,61
55,0.0,61,70,71,62
56,0.0,63,72,73,64
57,0.0,64,73,74,65
58,0.0,65,74,75,66
59,0.0,66,75,76,67
60,0.0,67,76,77,68
61,0.0,68,77,78,69
62,0.0,69,78,79,70
63,0.0,70,79,80,71
64,0.0,72,81,82,73
65,0.0,73,82,83,74
66,0.0,74,83,84,75
67,0.0,75,84,85,76
68,0.0,76,85,86,77
69,0.0,77,86,87,78
70,0.0,78,87,88,79
71,0.0,79,88,89,80
72,0.0,81,90,91,82
73,0.0,82,91,92,83
74,0.0,83,92,93,84
75,0.0,84,93,94,85
76,0.0,85,94,95,86
77,0.0,86,95,96,87
78,0.0,87,96,97,88
79,0.0,88,97,98,89
80,0.0,90,99,100,91
81,0.0,91,100,101,92
82,0.0,92,101,102,93
83,0.0,93,102,103,94
84,0.0,94,103,104,95
85,0.0,95,104,105,96
86,0.0,96,105,106,97
87,0.0,97,106,107,98
88,0.0,99,108,109,100
89,0.0,100,109,110,101
90,0.0,101,110,111,102
91,0.0,102,111,112,103
92,0.0,103,112,113,104
93,0.0,104,113,114,105
94,0.0,105,114,115,106
95,0.0,106,115,116,107
96,0.0,108,117,118,109
97,0.0,109,118,119,110
98,0.0,110,119,120,111
99,0.0,111,120,121,112
100,0.0,112,121,122,113
101,0.0,113,122,123,114
102,0.0,114,123,124,115
103,0.0,115,124,125,116
104,0.0,117,126,127,118
105,0.0,118,127,128,119
106,0.0,119,128,129,120
107,0.0,120,129,130,121
108,0.0,121,130,131,122
109,0.0,122,131,132,123
110,0.0,123,132,133,124
111,0.0,124,133,134,125
112,0.0,126,135,136,127
113,0.0,127,136,137,128
114,0.0,128,137,138,129
115,0.0,129,138,139,130
116,0.0,130,139,140,131
117,0.0,131,140,141,132
118,0.0,132,141,142,133
119,0.0,133,142,143,134
120,0.0,135,144,145,136
121,0.0,136,145,146,137
122,0.0,137,146,147,138
123,0.0,138,147,148,139
124,0.0,139,148,149,140
125,0.0,140,149,150,141
126,0.0,141,150,151,142
127,0.0,142,151,152,143
128,0.0,144,153,154,145
129,0.0,145,154,155,146
130,0.0,146,155,156,147
131,0.0,147,156,157,148
132,0.0,148,157,158,149
133,0.0,149,158,159,150
134,0.0,150,159,160,151
135,0.0,151,160,161,152
136,0.0,153,162,163,154
137,0.0,154,163,164,155
138,0.0,155,164,165,156
139,0.0,156,165,166,157
140,0.0,157,166,167,158
141,0.0,158,167,168,159
142,0.0,159,168,169,160
143,0.0,160,169,170,161
144,0.0,162,171,172,163
145,0.0,163,172,173,164
146,0.0,164,173,174,165
147,0.0,165,174,175,166
148,0.0,166,175,176,167
149,0.0,167,176,177,168
150,0.0,168,177,178,169
151,0.0,169,178,179,170
152,0.0,171,180,181,172
153,0.0,172,181,182,173
154,0.0,173,182,183,174
155,0.0,174,183,184,175
156,0.0,175,184,185,176
157,0.0,176,185,186,177
158,0.0,177,186,187,178
159,0.0,178,187,188,179
160,0.0,180,189,190,181
161,0.0,181,190,191,182
162,0.0,182,191,192,183
163,0.0,183,192,193,184
164,0.0,184,193,194,185
165,0.0,185,194,195,186
166,0.0,186,195,196,187
167,0.0,187,196,197,188
168,0.0,189,198,199,190
169,0.0,190,199,200,191
170,0.0,191,200,201,192
171,0.0,192,201,202,193
172,0.0,193,202,203,194
173,0.0,194,203,204,195
174,0.0,195,204,205,196
175,0.0,196,205,206,197
176,0.0,198,207,208,199
177,0.0,199,208,209,200
178,0.0,200,209,210,201
179,0.0,201,210,211,202
180,0.0,202,211,212,203
181,0.0,203,212,213,204
182,0.0,204,213,214,205
183,0.0,205,214,215,206
184,0.0,207,216,217,208
185,0.0,208,217,218,209
186,0.0,209,218,219,210
187,0.0,210,219,220,211
188,0.0,211,220,221,212
189,0.0,212,221,222,213
190,0.0,213,222,223,214
191,0.0,214,223,224,215
