ele_no,dof_no,value
1781,0,2000
1780,0,2000
1779,0,2000
1778,0,2000
1777,0,2000
1776,0,2000
1823,0,2000
1822,0,2000
1821,0,2000
1820,0,2000
1819,0,2000
1818,0,2000
1817,0,2000
1816,0,2000
1815,0,2000
1814,0,2000
1813,0,2000
1812,0,2000
1811,0,2000
1810,0,2000
1809,0,2000
1808,0,2000
1855,0,2000
1854,0,2000
1853,0,2000
1852,0,2000
1851,0,2000
1850,0,2000
1849,0,2000
1848,0,2000
1847,0,2000
1846,0,2000
1845,0,2000
1844,0,2000
1843,0,2000
1842,0,2000
1841,0,2000
1840,0,2000
1887,0,2000
1886,0,2000
1885,0,2000
1884,0,2000
1883,0,2000
1882,0,2000
1881,0,2000
1880,0,2000
1879,0,2000
1878,0,2000
1877,0,2000
1876,0,2000
1875,0,2000
1874,0,2000
1873,0,2000
1872,0,2000
1919,0,2000
1918,0,2000
1917,0,2000
1916,0,2000
1915,0,2000
1914,0,2000
1913,0,2000
1912,0,2000
1911,0,2000
1910,0,2000
1909,0,2000
1908,0,2000
1907,0,2000
1906,0,2000
1905,0,2000
1904,0,2000
1951,0,2000
1950,0,2000
1949,0,2000
1948,0,2000
1947,0,2000
1946,0,2000
1945,0,2000
1944,0,2000
1943,0,2000
1942,0,2000
1941,0,2000
1940,0,2000
1939,0,2000
1938,0,2000
1937,0,2000
1936,0,2000
1983,0,2000
1982,0,2000
1981,0,2000
1980,0,2000
1979,0,2000
1978,0,2000
1977,0,2000
1976,0,2000
1975,0,2000
1974,0,2000
1973,0,2000
1972,0,2000
1971,0,2000
1970,0,2000
1969,0,2000
1968,0,2000
2015,0,2000
2014,0,2000
2013,0,2000
2012,0,2000
2011,0,2000
2010,0,2000
2009,0,2000
2008,0,2000
2007,0,2000
2006,0,2000
2005,0,2000
2004,0,2000
2003,0,2000
2002,0,2000
2001,0,2000
2000,0,2000
2047,0,2000
2046,0,2000
2045,0,2000
2044,0,2000
2043,0,2000
2042,0,2000
2041,0,2000
2040,0,2000
2039,0,2000
2038,0,2000
2037,0,2000
2036,0,2000
2035,0,2000
2034,0,2000
2033,0,2000
2032,0,2000
