ele_no,dof_no,value
1055,0,2000
1054,0,2000
1053,0,2000
1052,0,2000
1051,0,2000
1050,0,2000
1049,0,2000
1048,0,2000
1047,0,2000
1046,0,2000
1045,0,2000
1044,0,2000
1043,0,2000
1042,0,2000
1041,0,2000
1040,0,2000
1087,0,2000
1086,0,2000
1085,0,2000
1084,0,2000
1083,0,2000
1082,0,2000
1081,0,2000
1080,0,2000
1079,0,2000
1078,0,2000
1077,0,2000
1076,0,2000
1075,0,2000
1074,0,2000
1073,0,2000
1072,0,2000
1119,0,2000
1118,0,2000
1117,0,2000
1116,0,2000
1115,0,2000
1114,0,2000
1113,0,2000
1112,0,2000
1111,0,2000
1110,0,2000
1109,0,2000
1108,0,2000
1107,0,2000
1106,0,2000
1105,0,2000
1104,0,2000
1151,0,2000
1150,0,2000
1149,0,2000
1148,0,2000
1147,0,2000
1146,0,2000
1145,0,2000
1144,0,2000
1143,0,2000
1142,0,2000
1141,0,2000
1140,0,2000
1139,0,2000
1138,0,2000
1137,0,2000
1136,0,2000
1183,0,2000
1182,0,2000
1181,0,2000
1180,0,2000
1179,0,2000
1178,0,2000
1177,0,2000
1176,0,2000
1175,0,2000
1174,0,2000
1173,0,2000
1172,0,2000
1171,0,2000
1170,0,2000
1169,0,2000
1168,0,2000
1215,0,2000
1214,0,2000
1213,0,2000
1212,0,2000
1211,0,2000
1210,0,2000
1209,0,2000
1208,0,2000
1207,0,2000
1206,0,2000
1205,0,2000
1204,0,2000
1203,0,2000
1202,0,2000
1201,0,2000
1200,0,2000
1247,0,2000
1246,0,2000
1245,0,2000
1244,0,2000
1243,0,2000
1242,0,2000
1241,0,2000
1240,0,2000
1239,0,2000
1238,0,2000
1237,0,2000
1236,0,2000
1235,0,2000
1234,0,2000
1233,0,2000
1232,0,2000
1279,0,2000
1278,0,2000
1277,0,2000
1276,0,2000
1275,0,2000
1274,0,2000
1273,0,2000
1272,0,2000
1271,0,2000
1270,0,2000
1269,0,2000
1268,0,2000
1267,0,2000
1266,0,2000
1265,0,2000
1264,0,2000
1311,0,2000
1310,0,2000
1309,0,2000
1308,0,2000
1307,0,2000
1306,0,2000
1305,0,2000
1304,0,2000
1303,0,2000
1302,0,2000
1301,0,2000
1300,0,2000
1299,0,2000
1298,0,2000
1297,0,2000
1296,0,2000
1343,0,2000
1342,0,2000
1341,0,2000
1340,0,2000
1339,0,2000
1338,0,2000
1337,0,2000
1336,0,2000
1335,0,2000
1334,0,2000
1333,0,2000
1332,0,2000
1331,0,2000
1330,0,2000
1329,0,2000
1328,0,2000
1375,0,2000
1374,0,2000
1373,0,2000
1372,0,2000
1371,0,2000
1370,0,2000
1369,0,2000
1368,0,2000
1367,0,2000
1366,0,2000
1365,0,2000
1364,0,2000
1363,0,2000
1362,0,2000
1361,0,2000
1360,0,2000
1407,0,2000
1406,0,2000
1405,0,2000
1404,0,2000
1403,0,2000
1402,0,2000
1401,0,2000
1400,0,2000
1399,0,2000
1398,0,2000
1397,0,2000
1396,0,2000
1395,0,2000
1394,0,2000
1393,0,2000
1392,0,2000
1439,0,2000
1438,0,2000
1437,0,2000
1436,0,2000
1435,0,2000
1434,0,2000
1433,0,2000
1432,0,2000
1431,0,2000
1430,0,2000
1429,0,2000
1428,0,2000
1427,0,2000
1426,0,2000
1425,0,2000
1424,0,2000
1471,0,2000
1470,0,2000
1469,0,2000
1468,0,2000
1467,0,2000
1466,0,2000
1465,0,2000
1464,0,2000
1463,0,2000
1462,0,2000
1461,0,2000
1460,0,2000
1459,0,2000
1458,0,2000
1457,0,2000
1456,0,2000
1503,0,2000
1502,0,2000
1501,0,2000
1500,0,2000
1499,0,2000
1498,0,2000
1497,0,2000
1496,0,2000
1495,0,2000
1494,0,2000
1493,0,2000
1492,0,2000
1491,0,2000
1490,0,2000
1489,0,2000
1488,0,2000
1535,0,2000
1534,0,2000
1533,0,2000
1532,0,2000
1531,0,2000
1530,0,2000
1529,0,2000
1528,0,2000
1527,0,2000
1526,0,2000
1525,0,2000
1524,0,2000
1523,0,2000
1522,0,2000
1521,0,2000
1520,0,2000
1567,0,2000
1566,0,2000
1565,0,2000
1564,0,2000
1563,0,2000
1562,0,2000
1561,0,2000
1560,0,2000
1559,0,2000
1558,0,2000
1557,0,2000
1556,0,2000
1555,0,2000
1554,0,2000
1553,0,2000
1552,0,2000
1599,0,2000
1598,0,2000
1597,0,2000
1596,0,2000
1595,0,2000
1594,0,2000
1593,0,2000
1592,0,2000
1591,0,2000
1590,0,2000
1589,0,2000
1588,0,2000
1587,0,2000
1586,0,2000
1585,0,2000
1584,0,2000
1631,0,2000
1630,0,2000
1629,0,2000
1628,0,2000
1627,0,2000
1626,0,2000
1625,0,2000
1624,0,2000
1623,0,2000
1622,0,2000
1621,0,2000
1620,0,2000
1619,0,2000
1618,0,2000
1617,0,2000
1616,0,2000
1663,0,2000
1662,0,2000
1661,0,2000
1660,0,2000
1659,0,2000
1658,0,2000
1657,0,2000
1656,0,2000
1655,0,2000
1654,0,2000
1653,0,2000
1652,0,2000
1651,0,2000
1650,0,2000
1649,0,2000
1648,0,2000
1695,0,2000
1694,0,2000
1693,0,2000
1692,0,2000
1691,0,2000
1690,0,2000
1689,0,2000
1688,0,2000
1687,0,2000
1686,0,2000
1685,0,2000
1684,0,2000
1683,0,2000
1682,0,2000
1681,0,2000
1680,0,2000
1727,0,2000
1726,0,2000
1725,0,2000
1724,0,2000
1723,0,2000
1722,0,2000
1721,0,2000
1720,0,2000
1719,0,2000
1718,0,2000
1717,0,2000
1716,0,2000
1715,0,2000
1714,0,2000
1713,0,2000
1712,0,2000
1759,0,2000
1758,0,2000
1757,0,2000
1756,0,2000
1755,0,2000
1754,0,2000
1753,0,2000
1752,0,2000
1751,0,2000
1750,0,2000
1749,0,2000
1748,0,2000
1747,0,2000
1746,0,2000
1745,0,2000
1744,0,2000
1791,0,2000
1790,0,2000
1789,0,2000
1788,0,2000
1787,0,2000
1786,0,2000
1785,0,2000
1784,0,2000
1783,0,2000
1782,0,2000
