node_no,x,y
0,0.0,0.0
1,0.0,0.0078125
2,0.0,0.015625
3,0.0,0.0234375
4,0.0,0.03125
5,0.0,0.0390625
6,0.0,0.046875
7,0.0,0.0546875
8,0.0,0.0625
9,0.0,0.0703125
10,0.0,0.078125
11,0.0,0.0859375
12,0.0,0.09375
13,0.0,0.1015625
14,0.0,0.109375
15,0.0,0.1171875
16,0.0,0.125
17,0.0,0.1328125
18,0.0,0.140625
19,0.0,0.1484375
20,0.0,0.15625
21,0.0,0.1640625
22,0.0,0.171875
23,0.0,0.1796875
24,0.0,0.1875
25,0.0,0.1953125
26,0.0,0.203125
27,0.0,0.2109375
28,0.0,0.21875
29,0.0,0.2265625
30,0.0,0.234375
31,0.0,0.2421875
32,0.0,0.25
33,0.0078125,0.0
34,0.0078125,0.0078125
35,0.0078125,0.015625
36,0.0078125,0.0234375
37,0.0078125,0.03125
38,0.0078125,0.0390625
39,0.0078125,0.046875
40,0.0078125,0.0546875
41,0.0078125,0.0625
42,0.0078125,0.0703125
43,0.0078125,0.078125
44,0.0078125,0.0859375
45,0.0078125,0.09375
46,0.0078125,0.1015625
47,0.0078125,0.109375
48,0.0078125,0.1171875
49,0.0078125,0.125
50,0.0078125,0.1328125
51,0.0078125,0.140625
52,0.0078125,0.1484375
53,0.0078125,0.15625
54,0.0078125,0.1640625
55,0.0078125,0.171875
56,0.0078125,0.1796875
57,0.0078125,0.1875
58,0.0078125,0.1953125
59,0.0078125,0.203125
60,0.0078125,0.2109375
61,0.0078125,0.21875
62,0.0078125,0.2265625
63,0.0078125,0.234375
64,0.0078125,0.2421875
65,0.0078125,0.25
66,0.015625,0.0
67,0.015625,0.0078125
68,0.015625,0.015625
69,0.015625,0.0234375
70,0.015625,0.03125
71,0.015625,0.0390625
72,0.015625,0.046875
73,0.015625,0.0546875
74,0.015625,0.0625
75,0.015625,0.0703125
76,0.015625,0.078125
77,0.015625,0.0859375
78,0.015625,0.09375
79,0.015625,0.1015625
80,0.015625,0.109375
81,0.015625,0.1171875
82,0.015625,0.125
83,0.015625,0.1328125
84,0.015625,0.140625
85,0.015625,0.1484375
86,0.015625,0.15625
87,0.015625,0.1640625
88,0.015625,0.171875
89,0.015625,0.1796875
90,0.015625,0.1875
91,0.015625,0.1953125
92,0.015625,0.203125
93,0.015625,0.2109375
94,0.015625,0.21875
95,0.015625,0.2265625
96,0.015625,0.234375
97,0.015625,0.2421875
98,0.015625,0.25
99,0.0234375,0.0
100,0.0234375,0.0078125
101,0.0234375,0.015625
102,0.0234375,0.0234375
103,0.0234375,0.03125
104,0.0234375,0.0390625
105,0.0234375,0.046875
106,0.0234375,0.0546875
107,0.0234375,0.0625
108,0.0234375,0.0703125
109,0.0234375,0.078125
110,0.0234375,0.0859375
111,0.0234375,0.09375
112,0.0234375,0.1015625
113,0.0234375,0.109375
114,0.0234375,0.1171875
115,0.0234375,0.125
116,0.0234375,0.1328125
117,0.0234375,0.140625
118,0.0234375,0.1484375
119,0.0234375,0.15625
120,0.0234375,0.1640625
121,0.0234375,0.171875
122,0.0234375,0.1796875
