node_no,dof_no,value,,,
0,0,0,
16,0,0,
17,0,0,
33,0,0,
34,0,0,s
50,0,0,
51,0,0,
67,0,0,
68,0,0,
84,0,0,
85,0,0,
101,0,0,
102,0,0,
118,0,0,
119,0,0,
135,0,0,
136,0,0,
152,0,0,
153,0,0,
169,0,0,
170,0,0,
186,0,0,
187,0,0,
203,0,0,
204,0,0,
220,0,0,
221,0,0,
237,0,0,
238,0,0,
254,0,0,
255,0,0,
271,0,0,
272,0,0,
288,0,0,
289,0,0,
305,0,0,
306,0,0,
322,0,0,
323,0,0,
339,0,0,
340,0,0,
356,0,0,
357,0,0,
373,0,0,
374,0,0,
390,0,0,
391,0,0,
407,0,0,
408,0,0,
424,0,0,
425,0,0,
441,0,0,
442,0,0,
458,0,0,
459,0,0,
475,0,0,
476,0,0,
492,0,0,
493,0,0,
509,0,0,
510,0,0,
526,0,0,
527,0,0,
543,0,0,
544,0,0,
560,0,0,
