node_no,x,y
0,0.0,0.0
1,0.0,0.0625
2,0.0,0.125
3,0.0,0.1875
4,0.0,0.25
5,0.0625,0.0
6,0.0625,0.0625
7,0.0625,0.125
8,0.0625,0.1875
9,0.0625,0.25
10,0.125,0.0
11,0.125,0.0625
12,0.125,0.125
13,0.125,0.1875
14,0.125,0.25
15,0.1875,0.0
16,0.1875,0.0625
17,0.1875,0.125
18,0.1875,0.1875
19,0.1875,0.25
20,0.25,0.0
21,0.25,0.0625
22,0.25,0.125
23,0.25,0.1875
24,0.25,0.25
25,0.3125,0.0
26,0.3125,0.0625
27,0.3125,0.125
28,0.3125,0.1875
29,0.3125,0.25
30,0.375,0.0
31,0.375,0.0625
32,0.375,0.125
33,0.375,0.1875
34,0.375,0.25
35,0.4375,0.0
36,0.4375,0.0625
37,0.4375,0.125
38,0.4375,0.1875
39,0.4375,0.25
40,0.5,0.0
41,0.5,0.0625
42,0.5,0.125
43,0.5,0.1875
44,0.5,0.25
